tconst	isAdult	startYear	genres	runtimeMinutes	averageRating	directors	writers
tt0377981	0	2011	Adventure,Animation,Comedy	84	5.9	nm0038432	nm0726978,nm0147700,nm0123666,nm1486235,nm1271884,nm2050680,nm0038432,nm0819522,nm0975322,nm0748672,nm0436851,nm0910559,nm0000636
tt0377992	0	2003	Biography,Drama,History	180	7.8	nm0767697	nm0326089
tt0378072	0	2004	Comedy,Drama,Romance	143	7.0	nm0463316	nm1893457,nm0463316
tt0378109	0	2005	Action,Adventure,Crime	110	5.9	nm0007082	nm0425780
tt0378194	0	2004	Action,Crime,Thriller	137	8.0	nm0000233	nm0000233,nm0000235
tt0378215	0	2004	Drama,Thriller	107	7.3	nm1064048	nm1064048,nm1065452,nm1662775
tt0378262	0	2003	Animation,Fantasy,Musical	82	6.7	nm0538770,nm0111588,nm0155940,nm0581790	nm0310018,nm1650390,nm0155722
tt0378284	0	2004	Biography,Drama,History	121	7.7	nm0939540	nm1505557,nm1802491,nm0368336,nm0939540
tt0378306	0	2004	Thriller	88	5.0	nm0184616	nm0391344,nm1436466
tt0378407	0	2004	Documentary	90	6.5	nm0348197,nm1435762,nm0935317	\N
tt0378417	0	2004	Comedy,Horror	89	5.6	nm0227845	nm0227845
tt0378428	0	2003	Action,Drama,Sci-Fi	114	5.7	nm1122911	nm0001140,nm1954072,nm1122911
tt0378453	0	2004	Comedy,Drama,Romance	105	6.6	nm0850307	nm0233292,nm0850307
tt0378647	0	2002	Action,Drama	140	8.2	nm1436693	nm1436693,nm13659743
tt0378661	0	2004	Drama,Fantasy	102	5.8	nm0133028	nm0133028,nm0863121
tt0378793	0	2004	Drama	89	7.2	nm0789366	nm1547881,nm0789366,nm1022687
tt0378848	0	2007	Drama,History,War	117	5.8	nm0512003,nm0456426	nm1440034,nm0956493,nm15701162
tt0378867	0	2003	Comedy,Drama,Romance	105	5.3	nm0604284	nm1434458,nm1435746,nm0604284
tt0378873	0	2003	Action,Comedy,Drama		6.9	nm0415852	nm1459905,nm1459445,nm2750225
tt0378897	0	2003	Drama	108	7.4	nm0099552	nm0099552
tt0378906	0	2003	Adventure,Drama	108	7.4	nm0634897	nm0634897
tt0378947	0	2004	Comedy,Drama,Romance	99	6.4	nm0000095	nm0000095
tt0379184	0	2004	Comedy	91	6.2	nm1442694	nm1442694,nm1444314
tt0379199	0	2003	Drama,Romance	85	6.5	nm0025241	nm0578943
tt0379217	0	2003	Comedy,Drama,Music	95	7.0	nm0000464	nm0000464
tt0379225	0	2003	Documentary,History	145	8.0	nm0009788,nm0007989	nm1538175,nm0188899,nm0009788,nm0788000
tt0379240	0	2005	Action,Comedy,Crime	98	5.2	nm0821143	nm1444447,nm0471044,nm1180614,nm0821143
tt0379270	0	2003	Comedy,Drama,Romance	99	5.8	nm0918487	nm0918487
tt0379296	0	2003	Documentary	90	6.7	nm0419683	\N
tt0379298	0	2003	Comedy,Drama	115	7.6	nm0126802	nm0126802
tt0379306	0	2004	Comedy,Drama,Romance	93	6.4	nm0054954	nm0928492,nm0385392
tt0379357	0	2003	Documentary,History	169	7.8	nm0026263	nm0026263
tt0379370	0	2003	Crime,Drama,Thriller	132	8.0	nm0080235	nm1063072,nm0080235,nm0000636
tt0379375	0	2003	Drama	99	7.7	nm1162002	nm1162002
tt0379380	0	2004	Romance,Thriller	93	4.4	nm0747003	nm1441354,nm0747003
tt0379557	0	2003	Adventure,Documentary,Drama	106	7.9	nm0531817	nm1440698
tt0379577	0	2003	Comedy,Drama	90	6.7	nm0757954	nm0227605,nm1441500,nm0757954
tt0379593	0	2003	Comedy,Documentary	83	6.8	nm0647381,nm0697140,nm0807687	\N
tt0379725	0	2005	Biography,Crime,Drama	114	7.3	nm0587955	nm0001246,nm1707307
tt0379730	0	2003	Biography,Documentary	132	7.9	nm0771349	nm0771349
tt0379786	0	2005	Action,Adventure,Sci-Fi	119	7.8	nm0923736	nm0923736
tt0379790	0	2004	Action,Adventure	95	4.5	nm0202810	nm0202810
tt0379865	0	2008	Comedy,Drama,Romance	114	6.0	nm0000123	nm1445106,nm0717733
tt0379889	0	2004	Drama,Romance	131	7.0	nm0705535	nm0000636,nm0705535
tt0379918	0	2004	Comedy,Crime,Drama	91	6.5	nm0716153	nm0716153
tt0379976	0	2007	Drama	97	5.7	nm0435788	nm0734912,nm1446195,nm1444985
tt0380066	0	2006	Horror,Mystery	91	5.6	nm1031246	nm1565107
tt0380164	0	2003	Horror,Thriller	103	5.6	nm0661882	nm16859659,nm0661882
tt0380249	0	2008	Comedy,Drama,Fantasy	86	6.8	nm1452689	nm1480472,nm1452689
tt0380268	0	2006	Crime,Documentary,History	118	7.7	nm0169253	\N
tt0380275	0	2003	Documentary,Music	140	8.6	nm0500896	\N
tt0380277	0	2004	Comedy	97	3.8	nm1457166	nm0001451,nm1406277,nm1409224,nm1576757,nm1463532,nm1602475
tt0380291	0	2003	Comedy,Drama	98	6.8	nm1001051	nm0946995,nm0497231,nm1001051
tt0380349	0	2004	Action,Comedy,Crime	92	5.8	nm0073322	nm0002010,nm0217033,nm1091004
tt0380366	0	2004	Drama,Romance	104	7.1	nm0516360	nm0491956
tt0380389	0	2005	Drama,Romance,Sport	118	6.7	nm0134176	nm1449019,nm1171743,nm0166074,nm0478588
tt0380420	0	2004	Comedy,Romance	92	5.2	nm1451294	nm1451294
tt0380485	0	2003	Comedy,Drama	94	7.5	nm0953468	nm0953468
tt0380510	0	2009	Drama,Fantasy,Thriller	135	6.6	nm0001392	nm0909638,nm0101991,nm0001392,nm1451254
tt0380538	0	2004	Action,Adventure,Comedy	94	7.4	nm1448814	nm0198366,nm1448814,nm0471690
tt0380599	0	2005	Crime,Drama	130	6.8	nm0000591	nm0002042,nm0367838
tt0380609	0	2004	Comedy,Drama,Fantasy	97	6.1	nm1071898	nm1217860,nm1071898
tt0380615	0	2004	Documentary,War	82	7.3	nm1198362,nm1452675	nm1452675
tt0380623	0	2005	Comedy,Family,Romance	100	5.5	nm0743093	nm1444139,nm1449113,nm0868282,nm0920859
tt0380636	0	2003	Comedy,Drama	95	7.1	nm0836136	nm1435750,nm0836136
tt0380687	0	2004	Comedy,Horror	96	5.3	nm0006639	nm0006639
tt0380689	0	2003	Drama	124	6.8	nm0497489	nm0453411,nm1282158,nm0480166,nm0497489
tt0380726	0	2003	Adventure,Drama,History	103	5.6	nm0388956	nm0376215,nm0388956,nm0470002
tt0380732	0	2003	Action,Drama,Horror	97	6.3	nm1100565	nm1451437,nm1100565
tt0380736	0	2004	Crime,Drama,Horror	96	6.7	nm0767022	nm0520943
tt0380773	0	2004	Drama,Romance	86	6.4	nm0603588	nm0393394,nm0603588
tt0380798	0	2004	Drama	100	6.4	nm0003606	nm0063341,nm0003606,nm0898725
tt0380817	0	2005	Comedy,Drama	98	6.2	nm1452688	nm1452688
tt0381061	0	2006	Action,Adventure,Thriller	144	8.0	nm0132709	nm0701031,nm0905498,nm0353673,nm0001220
tt0381111	0	2006	Adventure,Family,Fantasy	125	6.1	nm0813786	nm1683671,nm0726892,nm1157806,nm1453976
tt0381270	0	2004	Comedy,Drama,Music	100	6.4	nm0040939	nm0040939
tt0381341	0	2006	Comedy	81	4.3	nm1455690	nm1455690,nm1454731
tt0381348	0	2004	Animation,Drama,Romance	90	6.8	nm1396121,nm1491554	nm1396121
tt0381361	0	2005	Drama,Fantasy,Romance	86	3.4	nm0003532	nm0059700,nm1465637,nm0772144
tt0381392	0	2004	Drama,Romance	110	5.0	nm0393394	nm0060652,nm0393394
tt0381429	0	2004	Drama,Romance	106	6.7	nm0795153	nm0795153
tt0381442	0	2004	Comedy	105	6.2	nm1193701,nm0500976	nm0040927,nm1162222,nm0500976
tt0381505	0	2005	Comedy,Drama	104	6.4	nm0796864	nm1457646
tt0381601	0	2005	Action,Sci-Fi,Thriller	89	4.5	nm0995043	nm0007128,nm0046093
tt0381637	0	2003	Drama,Thriller	99	7.6	nm1407454	nm1407454
tt0381668	0	2004	Drama,Fantasy,Romance	118	7.1	nm0917405	nm0917405
tt0381681	0	2004	Drama,Romance	80	8.1	nm0000500	nm0000500,nm0000365,nm0000160,nm0471811
tt0381682	0	2004	Drama	98	4.4	nm0600546	nm0600546
tt0381690	0	2005	Drama	108	6.3	nm0134559	nm0134559,nm0133028,nm0480767,nm0925790
tt0381707	0	2004	Comedy,Crime	109	5.8	nm0005540	nm0005540,nm0915465,nm0005541,nm0568377,nm0811360,nm0177348
tt0381716	0	2003	Comedy,Romance	118	6.5	nm1226290	nm1396567
tt0381717	0	2004	Drama,Romance	100	6.4	nm0006845	nm0232924,nm0006845
tt0381838	0	2003	Drama,Romance	104	7.2	nm1459238	nm1459096
tt0381849	0	2007	Action,Crime,Drama	122	7.6	nm0003506	nm0919925,nm0104973,nm0351929,nm0001465
tt0381936	0	2003	Crime,Drama	110	7.1	nm1458108	nm0734840,nm1458108
tt0381940	0	2009	Drama,Mystery,Sci-Fi	112	6.1	nm1393530,nm2100246	nm1308259,nm1393530,nm2037493,nm0973731,nm0960417
tt0381966	0	2004	Horror,Mystery,Thriller	85	5.6	nm1247462	nm1247462
tt0381971	0	2006	Adventure,Animation,Comedy	87	6.5	nm0639965	nm0442190,nm0108273,nm1597712,nm1640030
tt0382010	0	2002	Comedy	89	6.5	nm1671974	nm4887430
tt0382019	0	2004	Horror,Mystery,Thriller	107	4.8	nm1459270,nm1460069	nm1459270,nm1460069
tt0382028	0	2004	Comedy	75	1.9	nm0125753	nm0651758
tt0382073	0	2005	Drama,Romance	93	6.8	nm0006516	nm1470084,nm0006516
tt0382077	0	2005	Horror,Mystery	101	5.9	nm0689852	nm1324179
tt0382095	0	2004	Drama,Family,Sport	95	6.6	nm0003400	nm0450509
tt0382097	0	2004	Crime,Drama,Thriller	110	6.7	nm0054221	nm0054221,nm1459402
tt0382189	0	2004	Drama,Romance	86	6.7	nm0667734	nm1713410,nm0667734,nm1721806
